entity_key,canonical_code,display_name,display_code,sugar_family,sugar_sort_key,anomer_availability,alpha_code,alpha_name,beta_code,beta_name,identical_group_codes,group_member_codes
|SHB,SHB,methyl beta-D-galactopyranuronate (SHB),SHB,methyl beta-d-galactopyranuronate,methyl beta-d-galactopyranuronate,beta_only,,,SHB,methyl beta-D-galactopyranuronate,SHB,SHB
|MUB,MUB,N-acetyl-alpha-muramic acid (MUB),MUB,n-acetyl-alpha-muramic acid,n-acetyl-alpha-muramic acid,beta_only,,,MUB,N-acetyl-alpha-muramic acid,MUB,MUB
|SIA,SIA,N-acetyl-alpha-neuraminic acid (SIA),SIA,n-acetyl-alpha-neuraminic acid,n-acetyl-alpha-neuraminic acid,beta_only,,,SIA,N-acetyl-alpha-neuraminic acid,SIA,SIA
|AMU,AMU,N-acetyl-beta-muramic acid (AMU),AMU,n-acetyl-beta-muramic acid,n-acetyl-beta-muramic acid,beta_only,,,AMU,N-acetyl-beta-muramic acid,AMU,AMU
SLB|,SLB,N-acetyl-beta-neuraminic acid (SLB),SLB,n-acetyl-beta-neuraminic acid,n-acetyl-beta-neuraminic acid,alpha_only,SLB,N-acetyl-beta-neuraminic acid,,,SLB,SLB
|MDP,MDP,N-carboxyl-N-methyl-beta-muramic acid (MDP),MDP,n-carboxyl-n-methyl-beta-muramic acid,n-carboxyl-n-methyl-beta-muramic acid,beta_only,,,MDP,N-carboxyl-N-methyl-beta-muramic acid,MDP,MDP
|NGC,NGC,N-glycolyl-alpha-neuraminic acid (NGC),NGC,n-glycolyl-alpha-neuraminic acid,n-glycolyl-alpha-neuraminic acid,beta_only,,,NGC,N-glycolyl-alpha-neuraminic acid,NGC,NGC
NGE|,NGE,N-glycolyl-beta-neuraminic acid (NGE),NGE,n-glycolyl-beta-neuraminic acid,n-glycolyl-beta-neuraminic acid,alpha_only,NGE,N-glycolyl-beta-neuraminic acid,,,NGE,NGE
OSU|,OSU,N-OCTANOYLSUCROSE (OSU),OSU,octanoylsucrose,n-octanoylsucrose,alpha_only,OSU,N-OCTANOYLSUCROSE,,,OSU,OSU
|ERI,ERI,3-C-methyl-4-O-acetyl-alpha-L-Olivopyranose (ERI),ERI,olivopyranose,3-c-methyl-4-o-acetyl-alpha-l-olivopyranose,beta_only,,,ERI,3-C-methyl-4-O-acetyl-alpha-L-Olivopyranose,ERI,ERI
RAE|Z5J,RAE,alpha-L-Olivopyranose (RAE),RAE,olivopyranose,olivopyranose,both,RAE,alpha-L-Olivopyranose,Z5J,beta-L-Olivopyranose,RAE,"RAE, Z5J"
|DDA,DDA,beta-D-Olivopyranose (DDA),DDA,olivopyranose,olivopyranose,beta_only,,,DDA,beta-D-Olivopyranose,DDA,DDA
PZU|,PZU,alpha-D-Paratopyranose (PZU),PZU,paratopyranose,paratopyranose,alpha_only,PZU,alpha-D-Paratopyranose,,,PZU,PZU
D5E|,D5E,paromamine (D5E),D5E,paromamine,paromamine,alpha_only,D5E,paromamine,,,D5E,D5E
|2DR,2DR,2-deoxy-beta-D-erythro-pentofuranose (2DR),2DR,pentofuranose,2-deoxy-beta-d-erythro-pentofuranose,beta_only,,,2DR,2-deoxy-beta-D-erythro-pentofuranose,2DR,2DR
MAT|,MAT,"2,4-dideoxy-3-O-methyl-4-(propan-2-ylamino)-alpha-L-threo-pentopyranose (MAT)",MAT,pentopyranose,"2,4-dideoxy-3-o-methyl-4-(propan-2-ylamino)-alpha-l-threo-pentopyranose",alpha_only,MAT,"2,4-dideoxy-3-O-methyl-4-(propan-2-ylamino)-alpha-L-threo-pentopyranose",,,MAT,MAT
|EMP,EMP,"2,4-dideoxy-4-(ethylamino)-3-O-methyl-alpha-L-threo-pentopyranose (EMP)",EMP,pentopyranose,"2,4-dideoxy-4-(ethylamino)-3-o-methyl-alpha-l-threo-pentopyranose",beta_only,,,EMP,"2,4-dideoxy-4-(ethylamino)-3-O-methyl-alpha-L-threo-pentopyranose",EMP,EMP
|3R3,3R3,"[[[(2R,3R,4S,5R)-3,4-bis(oxidanyl)-5-(phosphonooxymethyl)oxolan-2-yl]oxy-oxidanyl-phosphoryl]amino]phosphonic acid (3R3)",3R3,phosphonic acid,"[[[(2r,3r,4s,5r)-3,4-bis(oxidanyl)-5-(phosphonooxymethyl)oxolan-2-yl]oxy-oxidanyl-phosphoryl]amino]phosphonic acid",beta_only,,,3R3,"[[[(2R,3R,4S,5R)-3,4-bis(oxidanyl)-5-(phosphonooxymethyl)oxolan-2-yl]oxy-oxidanyl-phosphoryl]amino]phosphonic acid",3R3,3R3
9KJ|,9KJ,"{[(2R,3R,4R,5R)-3-(alpha-D-glucopyranosyloxy)-4-hydroxy-2,5-bis(hydroxymethyl)pyrrolidin-1-yl]methyl}phosphonic acid (9KJ)",9KJ,phosphonic acid,"{[(2r,3r,4r,5r)-3-(alpha-d-glucopyranosyloxy)-4-hydroxy-2,5-bis(hydroxymethyl)pyrrolidin-1-yl]methyl}phosphonic acid",alpha_only,9KJ,"{[(2R,3R,4R,5R)-3-(alpha-D-glucopyranosyloxy)-4-hydroxy-2,5-bis(hydroxymethyl)pyrrolidin-1-yl]methyl}phosphonic acid",,,9KJ,9KJ
PUF|,PUF,6-deoxy-alpha-L-psicofuranose (PUF),PUF,psicofuranose,6-deoxy-alpha-l-psicofuranose,alpha_only,PUF,6-deoxy-alpha-L-psicofuranose,,,PUF,PUF
TTV|,TTV,beta-D-psicofuranose (TTV),TTV,psicofuranose,psicofuranose,alpha_only,TTV,beta-D-psicofuranose,,,TTV,TTV
SF9|,SF9,beta-L-psicofuranose (SF9),SF9,psicofuranose,psicofuranose,alpha_only,SF9,beta-L-psicofuranose,,,SF9,SF9
O1G|,O1G,3-deoxy-3-[(E)-({3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}methylidene)amino]-6-O-phosphono-alpha-D-gluco pyranose (O1G),O1G,pyranose,3-deoxy-3-[(e)-({3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}methylidene)amino]-6-o-phosphono-alpha-d-gluco pyranose,alpha_only,O1G,3-deoxy-3-[(E)-({3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}methylidene)amino]-6-O-phosphono-alpha-D-gluco pyranose,,,O1G,O1G
|Z9W,Z9W,2-acetamido-2-deoxy-beta-D-quinovopyranose (Z9W),Z9W,quinovopyranose,2-acetamido-2-deoxy-beta-d-quinovopyranose,beta_only,,,Z9W,2-acetamido-2-deoxy-beta-D-quinovopyranose,Z9W,Z9W
G6D|YYK,G6D,alpha-D-quinovopyranose (G6D),G6D,quinovopyranose,quinovopyranose,both,G6D,alpha-D-quinovopyranose,YYK,beta-D-quinovopyranose,G6D,"G6D, YYK"
RAF|,RAF,raffinose (RAF),RAF,raffinose,raffinose,alpha_only,RAF,raffinose,,,RAF,RAF
MRP|,MRP,3-O-methyl-alpha-L-rhamnopyranose (MRP),MRP,rhamnopyranose,3-o-methyl-alpha-l-rhamnopyranose,alpha_only,MRP,3-O-methyl-alpha-L-rhamnopyranose,,,MRP,MRP
83Y|,83Y,3-O-sulfo-alpha-L-rhamnopyranose (83Y),83Y,rhamnopyranose,3-o-sulfo-alpha-l-rhamnopyranose,alpha_only,83Y,3-O-sulfo-alpha-L-rhamnopyranose,,,83Y,83Y
|RHA,RHA,6-deoxy-1-O-phosphono-alpha-L-rhamnopyranose (RHA),RHA,rhamnopyranose,6-deoxy-1-o-phosphono-alpha-l-rhamnopyranose,beta_only,,,RHA,6-deoxy-1-O-phosphono-alpha-L-rhamnopyranose,RHA,RHA
XXR|,XXR,alpha-D-rhamnopyranose (XXR),XXR,rhamnopyranose,rhamnopyranose,alpha_only,XXR,alpha-D-rhamnopyranose,,,XXR,XXR
RAM|RM4,RAM,alpha-L-rhamnopyranose (RAM),RAM,rhamnopyranose,rhamnopyranose,both,RAM,alpha-L-rhamnopyranose,RM4,beta-L-rhamnopyranose,RAM,"RAM, RM4"
RAO|,RAO,methyl 6-deoxy-alpha-L-rhamnopyranoside (RAO),RAO,rhamnopyranoside,methyl 6-deoxy-alpha-l-rhamnopyranoside,alpha_only,RAO,methyl 6-deoxy-alpha-L-rhamnopyranoside,,,RAO,RAO
|RI2,RI2,"1,5-di-O-phosphono-alpha-D-ribofuranose (RI2)",RI2,ribofuranose,"1,5-di-o-phosphono-alpha-d-ribofuranose",beta_only,,,RI2,"1,5-di-O-phosphono-alpha-D-ribofuranose",RI2,RI2
PPC|,PPC,1-O-[(R)-hydroxy(phosphonomethyl)phosphoryl]-5-O-phosphono-alpha-D-ribofuranose (PPC),PPC,ribofuranose,1-o-[(r)-hydroxy(phosphonomethyl)phosphoryl]-5-o-phosphono-alpha-d-ribofuranose,alpha_only,PPC,1-O-[(R)-hydroxy(phosphonomethyl)phosphoryl]-5-O-phosphono-alpha-D-ribofuranose,,,PPC,PPC
|R1P,R1P,1-O-phosphono-alpha-D-ribofuranose (R1P),R1P,ribofuranose,1-o-phosphono-alpha-d-ribofuranose,beta_only,,,R1P,1-O-phosphono-alpha-D-ribofuranose,R1P,R1P
PRP|,PRP,1-O-pyrophosphono-5-O-phosphono-alpha-D-ribofuranose (PRP),PRP,ribofuranose,1-o-pyrophosphono-5-o-phosphono-alpha-d-ribofuranose,alpha_only,PRP,1-O-pyrophosphono-5-O-phosphono-alpha-D-ribofuranose,,,PRP,PRP
|1X4,1X4,"2,3-dideoxy-5-O-phosphono-alpha-D-ribofuranose (1X4)",1X4,ribofuranose,"2,3-dideoxy-5-o-phosphono-alpha-d-ribofuranose",beta_only,,,1X4,"2,3-dideoxy-5-O-phosphono-alpha-D-ribofuranose",1X4,1X4
|50A,50A,2-deoxy-2-fluoro-5-O-phosphono-alpha-D-ribofuranose (50A),50A,ribofuranose,2-deoxy-2-fluoro-5-o-phosphono-alpha-d-ribofuranose,beta_only,,,50A,2-deoxy-2-fluoro-5-O-phosphono-alpha-D-ribofuranose,50A,50A
|51N,51N,5-O-[(R)-hydroxy(phosphonooxy)phosphoryl]-1-O-phosphono-alpha-D-ribofuranose (51N),51N,ribofuranose,5-o-[(r)-hydroxy(phosphonooxy)phosphoryl]-1-o-phosphono-alpha-d-ribofuranose,beta_only,,,51N,5-O-[(R)-hydroxy(phosphonooxy)phosphoryl]-1-O-phosphono-alpha-D-ribofuranose,51N,51N
JS2|,JS2,"5-O-[(R)-{[(S)-[4-(8-amino-6-oxo-1,6-dihydro-9H-purin-9-yl)butoxy](hydroxy)phosphoryl]oxy}(hydroxy)phosphoryl]-alpha-D- ribofuranose (JS2)",JS2,ribofuranose,"5-o-[(r)-{[(s)-[4-(8-amino-6-oxo-1,6-dihydro-9h-purin-9-yl)butoxy](hydroxy)phosphoryl]oxy}(hydroxy)phosphoryl]-alpha-d- ribofuranose",alpha_only,JS2,"5-O-[(R)-{[(S)-[4-(8-amino-6-oxo-1,6-dihydro-9H-purin-9-yl)butoxy](hydroxy)phosphoryl]oxy}(hydroxy)phosphoryl]-alpha-D- ribofuranose",,,JS2,JS2
|RP5,RP5,5-O-phosphono-beta-D-ribofuranose (RP5),RP5,ribofuranose,5-o-phosphono-beta-d-ribofuranose,beta_only,,,RP5,5-O-phosphono-beta-D-ribofuranose,RP5,RP5
|SR1,SR1,5-S-methyl-5-thio-alpha-D-ribofuranose (SR1),SR1,ribofuranose,5-s-methyl-5-thio-alpha-d-ribofuranose,beta_only,,,SR1,5-S-methyl-5-thio-alpha-D-ribofuranose,SR1,SR1
|8GA,8GA,5-Se-methyl-5-seleno-alpha-D-ribofuranose (8GA),8GA,ribofuranose,5-se-methyl-5-seleno-alpha-d-ribofuranose,beta_only,,,8GA,5-Se-methyl-5-seleno-alpha-D-ribofuranose,8GA,8GA
|8GG,8GG,5-Se-methyl-5-seleno-beta-D-ribofuranose (8GG),8GG,ribofuranose,5-se-methyl-5-seleno-beta-d-ribofuranose,beta_only,,,8GG,5-Se-methyl-5-seleno-beta-D-ribofuranose,8GG,8GG
|RIB,RIB,alpha-D-ribofuranose (RIB),RIB,ribofuranose,ribofuranose,beta_only,,,RIB,alpha-D-ribofuranose,RIB,RIB
|Z6J,Z6J,alpha-L-ribofuranose (Z6J),Z6J,ribofuranose,ribofuranose,beta_only,,,Z6J,alpha-L-ribofuranose,Z6J,Z6J
|BDR,BDR,beta-D-ribofuranose (BDR),BDR,ribofuranose,ribofuranose,beta_only,,,BDR,beta-D-ribofuranose,BDR,BDR
|32O,32O,beta-L-ribofuranose (32O),32O,ribofuranose,ribofuranose,beta_only,,,32O,beta-L-ribofuranose,32O,32O
|Z4V,Z4V,4-thio-beta-L-ribopyranose (Z4V),Z4V,ribopyranose,4-thio-beta-l-ribopyranose,beta_only,,,Z4V,4-thio-beta-L-ribopyranose,Z4V,Z4V
|YYM,YYM,alpha-D-ribopyranose (YYM),YYM,ribopyranose,ribopyranose,beta_only,,,YYM,alpha-D-ribopyranose,YYM,YYM
|RIP,RIP,beta-D-ribopyranose (RIP),RIP,ribopyranose,ribopyranose,beta_only,,,RIP,beta-D-ribopyranose,RIP,RIP
|0MK,0MK,beta-L-ribopyranose (0MK),0MK,ribopyranose,ribopyranose,beta_only,,,0MK,beta-L-ribopyranose,0MK,0MK
SCG|,SCG,Secologanin (SCG),SCG,secologanin,secologanin,alpha_only,SCG,Secologanin,,,SCG,SCG
SOE|,SOE,alpha-L-sorbopyranose (SOE),SOE,sorbopyranose,sorbopyranose,alpha_only,SOE,alpha-L-sorbopyranose,,,SOE,SOE
|STZ,STZ,Streptozotocin (STZ),STZ,streptozotocin,streptozotocin,beta_only,,,STZ,Streptozotocin,STZ,STZ
SUC|,SUC,SUCROSE (SUC),SUC,sucrose,sucrose,alpha_only,SUC,SUCROSE,,,SUC,SUC
SCR|,SCR,SUCROSE OCTASULFATE (SCR),SCR,sucrose,sucrose octasulfate,alpha_only,SCR,SUCROSE OCTASULFATE,,,SCR,SCR
SUP|,SUP,SUCROSE-6-PHOSHPATE (SUP),SUP,sucrose,sucrose-6-phoshpate,alpha_only,SUP,SUCROSE-6-PHOSHPATE,,,SUP,SUP
NSQ|,NSQ,4-nitrophenyl alpha-D-6-sulfoquinovoside (NSQ),NSQ,sulfoquinovoside,4-nitrophenyl alpha-d-6-sulfoquinovoside,alpha_only,NSQ,4-nitrophenyl alpha-D-6-sulfoquinovoside,,,NSQ,NSQ
TA6|,TA6,6-O-phosphono-beta-D-tagatofuranose (TA6),TA6,tagatofuranose,6-o-phosphono-beta-d-tagatofuranose,alpha_only,TA6,6-O-phosphono-beta-D-tagatofuranose,,,TA6,TA6
TGY|,TGY,1-deoxy-alpha-D-tagatopyranose (TGY),TGY,tagatopyranose,1-deoxy-alpha-d-tagatopyranose,alpha_only,TGY,1-deoxy-alpha-D-tagatopyranose,,,TGY,TGY
|TGK,TGK,1-deoxy-beta-L-tagatopyranose (TGK),TGK,tagatopyranose,1-deoxy-beta-l-tagatopyranose,beta_only,,,TGK,1-deoxy-beta-L-tagatopyranose,TGK,TGK
T6T|,T6T,alpha-D-tagatopyranose (T6T),T6T,tagatopyranose,tagatopyranose,alpha_only,T6T,alpha-D-tagatopyranose,,,T6T,T6T
|A5C,A5C,alpha-L-talofuranose (A5C),A5C,talofuranose,talofuranose,beta_only,,,A5C,alpha-L-talofuranose,A5C,A5C
TWJ,TWJ,1-thio-beta-D-talopyranose (TWJ),TWJ,talopyranose,1-thio-beta-d-talopyranose,unknown,,,,,"TWJ, YIO",TWJ
|SDY,SDY,beta-D-talopyranose (SDY),SDY,talopyranose,talopyranose,beta_only,,,SDY,beta-D-talopyranose,SDY,SDY
|ZEE,ZEE,beta-L-talopyranose (ZEE),ZEE,talopyranose,talopyranose,beta_only,,,ZEE,beta-L-talopyranose,ZEE,ZEE
|MQT,MQT,methyl 2-O-acetyl-3-O-(4-methylbenzoyl)-beta-D-talopyranoside (MQT),MQT,talopyranoside,methyl 2-o-acetyl-3-o-(4-methylbenzoyl)-beta-d-talopyranoside,beta_only,,,MQT,methyl 2-O-acetyl-3-O-(4-methylbenzoyl)-beta-D-talopyranoside,MQT,MQT
|HSJ,HSJ,octyl beta-L-talopyranoside (HSJ),HSJ,talopyranoside,octyl beta-l-talopyranoside,beta_only,,,HSJ,octyl beta-L-talopyranoside,HSJ,HSJ
X1X|X0X,X0X,alpha-D-talopyranuronic acid (X1X),X1X,talopyranuronic acid,talopyranuronic acid,both,X1X,alpha-D-talopyranuronic acid,X0X,beta-D-talopyranuronic acid,X0X,"X0X, X1X"
TRE|,TRE,TREHALOSE (TRE),TRE,trehalose,trehalose,alpha_only,TRE,TREHALOSE,,,TRE,TRE
T6P|,T6P,Trehalose-6-phosphate (T6P),T6P,trehalose,trehalose-6-phosphate,alpha_only,T6P,Trehalose-6-phosphate,,,T6P,T6P
TYV|,TYV,alpha-D-Tyvelopyranose (TYV),TYV,tyvelopyranose,tyvelopyranose,alpha_only,TYV,alpha-D-Tyvelopyranose,,,TYV,TYV
JVS|,JVS,1-deoxy-1-fluoro-2-O-phosphono-alpha-D-gluco-hept-2-ulopyranose (JVS),JVS,ulopyranose,1-deoxy-1-fluoro-2-o-phosphono-alpha-d-gluco-hept-2-ulopyranose,alpha_only,JVS,1-deoxy-1-fluoro-2-O-phosphono-alpha-D-gluco-hept-2-ulopyranose,,,JVS,JVS
H2P|,H2P,1-deoxy-2-O-phosphono-alpha-D-gluco-hept-2-ulopyranose (H2P),H2P,ulopyranose,1-deoxy-2-o-phosphono-alpha-d-gluco-hept-2-ulopyranose,alpha_only,H2P,1-deoxy-2-O-phosphono-alpha-D-gluco-hept-2-ulopyranose,,,H2P,H2P
QIF|,QIF,1-deoxy-7-O-phosphono-alpha-D-gluco-hept-2-ulopyranose (QIF),QIF,ulopyranose,1-deoxy-7-o-phosphono-alpha-d-gluco-hept-2-ulopyranose,alpha_only,QIF,1-deoxy-7-O-phosphono-alpha-D-gluco-hept-2-ulopyranose,,,QIF,QIF
KDR|,KDR,prop-2-en-1-yl 3-deoxy-alpha-D-manno-octos-2-ulopyranoside (KDR),KDR,ulopyranoside,prop-2-en-1-yl 3-deoxy-alpha-d-manno-octos-2-ulopyranoside,alpha_only,KDR,prop-2-en-1-yl 3-deoxy-alpha-D-manno-octos-2-ulopyranoside,,,KDR,KDR
KME|,KME,(1E)-prop-1-en-1-yl 3-deoxy-7-O-methyl-alpha-D-manno-oct-2-ulopyranosidonic acid (KME),KME,ulopyranosidonic acid,(1e)-prop-1-en-1-yl 3-deoxy-7-o-methyl-alpha-d-manno-oct-2-ulopyranosidonic acid,alpha_only,KME,(1E)-prop-1-en-1-yl 3-deoxy-7-O-methyl-alpha-D-manno-oct-2-ulopyranosidonic acid,,,KME,KME
|PH5,PH5,"benzyl 3,5-dideoxy-5-(propanoylamino)-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid (PH5)",PH5,ulopyranosidonic acid,"benzyl 3,5-dideoxy-5-(propanoylamino)-d-glycero-alpha-d-galacto-non-2-ulopyranosidonic acid",beta_only,,,PH5,"benzyl 3,5-dideoxy-5-(propanoylamino)-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid",PH5,PH5
|MN0,MN0,"methyl 3,5-dideoxy-5-[(hydroxyacetyl)amino]-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid (MN0)",MN0,ulopyranosidonic acid,"methyl 3,5-dideoxy-5-[(hydroxyacetyl)amino]-d-glycero-alpha-d-galacto-non-2-ulopyranosidonic acid",beta_only,,,MN0,"methyl 3,5-dideoxy-5-[(hydroxyacetyl)amino]-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid",MN0,MN0
|6KL,6KL,"methyl 4,5-bisacetamido-3,4,5-trideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid (6KL)",6KL,ulopyranosidonic acid,"methyl 4,5-bisacetamido-3,4,5-trideoxy-d-glycero-alpha-d-galacto-non-2-ulopyranosidonic acid",beta_only,,,6KL,"methyl 4,5-bisacetamido-3,4,5-trideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid",6KL,6KL
|SIO,SIO,"methyl 4,9-di-O-acetyl-5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid (SIO)",SIO,ulopyranosidonic acid,"methyl 4,9-di-o-acetyl-5-acetamido-3,5-dideoxy-d-glycero-alpha-d-galacto-non-2-ulopyranosidonic acid",beta_only,,,SIO,"methyl 4,9-di-O-acetyl-5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid",SIO,SIO
|ANA,ANA,"methyl 4-O-acetyl-5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid (ANA)",ANA,ulopyranosidonic acid,"methyl 4-o-acetyl-5-acetamido-3,5-dideoxy-d-glycero-alpha-d-galacto-non-2-ulopyranosidonic acid",beta_only,,,ANA,"methyl 4-O-acetyl-5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid",ANA,ANA
|BND,BND,"methyl 5-acetamido-3,5,9-trideoxy-9-[(phenylcarbonyl)amino]-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid (BND)",BND,ulopyranosidonic acid,"methyl 5-acetamido-3,5,9-trideoxy-9-[(phenylcarbonyl)amino]-d-glycero-alpha-d-galacto-non-2-ulopyranosidonic acid",beta_only,,,BND,"methyl 5-acetamido-3,5,9-trideoxy-9-[(phenylcarbonyl)amino]-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid",BND,BND
|AMN,AMN,"methyl 5-acetamido-9-amino-3,5,9-trideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid (AMN)",AMN,ulopyranosidonic acid,"methyl 5-acetamido-9-amino-3,5,9-trideoxy-d-glycero-alpha-d-galacto-non-2-ulopyranosidonic acid",beta_only,,,AMN,"methyl 5-acetamido-9-amino-3,5,9-trideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid",AMN,AMN
|NXD,NXD,"methyl 5-acetamido-9-{[amino(oxo)acetyl]amino}-3,5,9-trideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid (NXD)",NXD,ulopyranosidonic acid,"methyl 5-acetamido-9-{[amino(oxo)acetyl]amino}-3,5,9-trideoxy-d-glycero-alpha-d-galacto-non-2-ulopyranosidonic acid",beta_only,,,NXD,"methyl 5-acetamido-9-{[amino(oxo)acetyl]amino}-3,5,9-trideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid",NXD,NXD
|MJJ,MJJ,"methyl 9-O-acetyl-5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid (MJJ)",MJJ,ulopyranosidonic acid,"methyl 9-o-acetyl-5-acetamido-3,5-dideoxy-d-glycero-alpha-d-galacto-non-2-ulopyranosidonic acid",beta_only,,,MJJ,"methyl 9-O-acetyl-5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid",MJJ,MJJ
|SID,SID,"methyl 9-S-acetyl-5-acetamido-3,5-dideoxy-9-thio-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid (SID)",SID,ulopyranosidonic acid,"methyl 9-s-acetyl-5-acetamido-3,5-dideoxy-9-thio-d-glycero-alpha-d-galacto-non-2-ulopyranosidonic acid",beta_only,,,SID,"methyl 9-S-acetyl-5-acetamido-3,5-dideoxy-9-thio-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid",SID,SID
KTU|,KTU,"prop-2-en-1-yl 3,5-dideoxy-alpha-D-threo-oct-5-en-2-ulopyranosidonic acid (KTU)",KTU,ulopyranosidonic acid,"prop-2-en-1-yl 3,5-dideoxy-alpha-d-threo-oct-5-en-2-ulopyranosidonic acid",alpha_only,KTU,"prop-2-en-1-yl 3,5-dideoxy-alpha-D-threo-oct-5-en-2-ulopyranosidonic acid",,,KTU,KTU
KDA|,KDA,prop-2-en-1-yl 3-deoxy-alpha-D-manno-oct-2-ulopyranosidonic acid (KDA),KDA,ulopyranosidonic acid,prop-2-en-1-yl 3-deoxy-alpha-d-manno-oct-2-ulopyranosidonic acid,alpha_only,KDA,prop-2-en-1-yl 3-deoxy-alpha-D-manno-oct-2-ulopyranosidonic acid,,,KDA,KDA
KDE|,KDE,prop-2-en-1-yl 3-deoxy-beta-L-gulo-oct-2-ulopyranosidonic acid (KDE),KDE,ulopyranosidonic acid,prop-2-en-1-yl 3-deoxy-beta-l-gulo-oct-2-ulopyranosidonic acid,alpha_only,KDE,prop-2-en-1-yl 3-deoxy-beta-L-gulo-oct-2-ulopyranosidonic acid,,,KDE,KDE
KO2|,KO2,prop-2-en-1-yl D-glycero-alpha-D-talo-oct-2-ulopyranosidonic acid (KO2),KO2,ulopyranosidonic acid,prop-2-en-1-yl d-glycero-alpha-d-talo-oct-2-ulopyranosidonic acid,alpha_only,KO2,prop-2-en-1-yl D-glycero-alpha-D-talo-oct-2-ulopyranosidonic acid,,,KO2,KO2
|5KQ,5KQ,"(6R)-5-acetamido-6-[(1S,2S)-3-acetamido-1,2-dihydroxypropyl]-3,5-dideoxy-beta-L-threo-hex-2-ulopyranosonic acid (5KQ)",5KQ,ulopyranosonic acid,"(6r)-5-acetamido-6-[(1s,2s)-3-acetamido-1,2-dihydroxypropyl]-3,5-dideoxy-beta-l-threo-hex-2-ulopyranosonic acid",beta_only,,,5KQ,"(6R)-5-acetamido-6-[(1S,2S)-3-acetamido-1,2-dihydroxypropyl]-3,5-dideoxy-beta-L-threo-hex-2-ulopyranosonic acid",5KQ,5KQ
KDB|,KDB,"3,4,5-trideoxy-alpha-D-erythro-oct-3-en-2-ulopyranosonic acid (KDB)",KDB,ulopyranosonic acid,"3,4,5-trideoxy-alpha-d-erythro-oct-3-en-2-ulopyranosonic acid",alpha_only,KDB,"3,4,5-trideoxy-alpha-D-erythro-oct-3-en-2-ulopyranosonic acid",,,KDB,KDB
|18D,18D,"3,5-dideoxy-5-(propanoylamino)-D-glycero-alpha-D-galacto-non-2-ulopyranosonic acid (18D)",18D,ulopyranosonic acid,"3,5-dideoxy-5-(propanoylamino)-d-glycero-alpha-d-galacto-non-2-ulopyranosonic acid",beta_only,,,18D,"3,5-dideoxy-5-(propanoylamino)-D-glycero-alpha-D-galacto-non-2-ulopyranosonic acid",18D,18D
|42D,42D,"3,5-dideoxy-5-[(methoxycarbonyl)amino]-D-glycero-alpha-D-galacto-non-2-ulopyranosonic acid (42D)",42D,ulopyranosonic acid,"3,5-dideoxy-5-[(methoxycarbonyl)amino]-d-glycero-alpha-d-galacto-non-2-ulopyranosonic acid",beta_only,,,42D,"3,5-dideoxy-5-[(methoxycarbonyl)amino]-D-glycero-alpha-D-galacto-non-2-ulopyranosonic acid",42D,42D
FKD|,FKD,3-deoxy-3-fluoro-D-erythro-alpha-L-manno-non-2-ulopyranosonic acid (FKD),FKD,ulopyranosonic acid,3-deoxy-3-fluoro-d-erythro-alpha-l-manno-non-2-ulopyranosonic acid,alpha_only,FKD,3-deoxy-3-fluoro-D-erythro-alpha-L-manno-non-2-ulopyranosonic acid,,,FKD,FKD
DO8|,DO8,3-deoxy-8-O-phosphono-alpha-D-manno-oct-2-ulopyranosonic acid (DO8),DO8,ulopyranosonic acid,3-deoxy-8-o-phosphono-alpha-d-manno-oct-2-ulopyranosonic acid,alpha_only,DO8,3-deoxy-8-O-phosphono-alpha-D-manno-oct-2-ulopyranosonic acid,,,DO8,DO8
