entity_key,canonical_code,display_name,display_code,sugar_family,sugar_sort_key,anomer_availability,alpha_code,alpha_name,beta_code,beta_name,identical_group_codes,group_member_codes
5TJ|,5TJ,"[(2R,3R,4R,5R,6S)-2-(hydroxymethyl)-5,6-bis(oxidanyl)-3-oxidanylsulfanyloxy-oxan-4-yl] hydrogen sulfate (5TJ)",5TJ,hydrogen sulfate,"[(2r,3r,4r,5r,6s)-2-(hydroxymethyl)-5,6-bis(oxidanyl)-3-oxidanylsulfanyloxy-oxan-4-yl] hydrogen sulfate",alpha_only,5TJ,"[(2R,3R,4R,5R,6S)-2-(hydroxymethyl)-5,6-bis(oxidanyl)-3-oxidanylsulfanyloxy-oxan-4-yl] hydrogen sulfate",,,5TJ,5TJ
5TM|,5TM,"[(2S,3R,4S,5R,6R)-6-(hydroxymethyl)-2,5-bis(oxidanyl)-4-oxidanylsulfanyloxy-oxan-3-yl] hydrogen sulfate (5TM)",5TM,hydrogen sulfate,"[(2s,3r,4s,5r,6r)-6-(hydroxymethyl)-2,5-bis(oxidanyl)-4-oxidanylsulfanyloxy-oxan-3-yl] hydrogen sulfate",alpha_only,5TM,"[(2S,3R,4S,5R,6R)-6-(hydroxymethyl)-2,5-bis(oxidanyl)-4-oxidanylsulfanyloxy-oxan-3-yl] hydrogen sulfate",,,5TM,5TM
5TH|,5TH,"[(2S,3R,4S,5S,6R)-6-(hydroxymethyl)-2,4-bis(oxidanyl)-5-oxidanylsulfanyloxy-oxan-3-yl] hydrogen sulfate (5TH)",5TH,hydrogen sulfate,"[(2s,3r,4s,5s,6r)-6-(hydroxymethyl)-2,4-bis(oxidanyl)-5-oxidanylsulfanyloxy-oxan-3-yl] hydrogen sulfate",alpha_only,5TH,"[(2S,3R,4S,5S,6R)-6-(hydroxymethyl)-2,4-bis(oxidanyl)-5-oxidanylsulfanyloxy-oxan-3-yl] hydrogen sulfate",,,5TH,5TH
|IDG,IDG,"2,6-diamino-2,6-dideoxy-beta-L-idopyranose (IDG)",IDG,idopyranose,"2,6-diamino-2,6-dideoxy-beta-l-idopyranose",beta_only,,,IDG,"2,6-diamino-2,6-dideoxy-beta-L-idopyranose",IDG,IDG
LXZ|,LXZ,2-acetamido-2-deoxy-alpha-D-idopyranose (LXZ),LXZ,idopyranose,2-acetamido-2-deoxy-alpha-d-idopyranose,alpha_only,LXZ,2-acetamido-2-deoxy-alpha-D-idopyranose,,,LXZ,LXZ
HSQ|,HSQ,2-acetylamino-2-deoxy-alpha-L-idopyranose (HSQ),HSQ,idopyranose,2-acetylamino-2-deoxy-alpha-l-idopyranose,alpha_only,HSQ,2-acetylamino-2-deoxy-alpha-L-idopyranose,,,HSQ,HSQ
RTG|,RTG,6-O-phosphono-alpha-L-idopyranose (RTG),RTG,idopyranose,6-o-phosphono-alpha-l-idopyranose,alpha_only,RTG,6-O-phosphono-alpha-L-idopyranose,,,RTG,RTG
ZCD|,ZCD,alpha-D-idopyranose (ZCD),ZCD,idopyranose,idopyranose,alpha_only,ZCD,alpha-D-idopyranose,,,ZCD,ZCD
Z0F|4N2,4N2,alpha-L-idopyranose (Z0F),Z0F,idopyranose,idopyranose,both,Z0F,alpha-L-idopyranose,4N2,beta-L-idopyranose,4N2,"4N2, Z0F"
IDY|,IDY,1-O-methyl-2-O-sulfo-alpha-L-idopyranuronic acid (IDY),IDY,idopyranuronic acid,1-o-methyl-2-o-sulfo-alpha-l-idopyranuronic acid,alpha_only,IDY,1-O-methyl-2-O-sulfo-alpha-L-idopyranuronic acid,,,IDY,IDY
